subset,model,dim,elasticity,ci_lo,ci_hi,elasticity_rel,rel_ci_lo,rel_ci_hi
FD001,lstm,accuracy,4.756709208910559,4.394233901198652,5.107802899951213,0.31564877681894804,0.2915954066251161,0.3389468783548235
FD001,pinn,accuracy,8.9371113043382,5.397302762653909,12.292560919888363,0.634082600882703,0.38293534196376605,0.8721497063383695
FD001,transformer,accuracy,7.147264238794045,2.4369485319944966,11.755038603729874,0.3945795450981306,0.13453679772502591,0.6489612850319518
FD001,lstm,accuracy_bias,33.528001482857405,27.187902025399644,39.17186095343894,2.2248727413109375,1.804152333406211,2.5993916072298218
FD001,pinn,accuracy_bias,23.76447994893588,15.113753810125106,33.287147637478895,1.6860753706101401,1.0723116227021907,2.3617028401216844
FD001,transformer,accuracy_bias,45.715044214844994,36.846773060335494,53.657148634764475,2.523793824849275,2.034202523752555,2.962254170574851
FD001,lstm,completeness_MAR,6.023514577429613,4.745996705351368,7.282709895671665,0.3997122643013578,0.314937909600327,0.48327075916051315
FD001,pinn,completeness_MAR,7.949615752015936,6.681503578246941,9.17690572020637,0.5640203932124618,0.4740486072547165,0.6510958685609326
FD001,transformer,completeness_MAR,3.6167038305873715,1.3883900581347801,5.681949492168028,0.1996676356922578,0.07664895255782846,0.3136838055771257
FD001,lstm,completeness_MCAR,5.269708858669704,4.06316486812501,7.000448022982093,0.34969073836069836,0.2696261142545485,0.4645402438096505
FD001,pinn,completeness_MCAR,5.829182004055761,4.121517138481177,7.289564683314779,0.41357691095960103,0.2924191293759771,0.517190172114703
FD001,transformer,completeness_MCAR,3.1811529906512557,0.9222462927763401,5.729404407974241,0.17562214827956643,0.050914519250169245,0.31630365262151666
FD001,lstm,completeness_MNAR,21.669984865183118,19.67395091132297,24.887843703307297,1.4379908285263403,1.3055367203700536,1.6515235801873505
FD001,pinn,completeness_MNAR,25.840800022739895,22.261588521261498,29.30694381596876,1.8333890145639242,1.5794461396592498,2.0793098044702942
FD001,transformer,completeness_MNAR,27.46489591397182,22.05258733184804,33.874026784725224,1.5162565387020088,1.217458818775336,1.870085900393968
FD001,lstm,consistency,33.196432454407585,25.310249833087042,40.379579889917515,2.2028702699247997,1.6795538785154545,2.679534199155859
FD001,pinn,consistency,13.776787294170878,8.738151498809197,19.30718510238141,0.9774546631253491,0.6199665239239535,1.3698330174649576
FD001,transformer,consistency,30.81553592544279,21.49444454132599,40.95691936713355,1.701235569467057,1.1866453884856574,2.2611116747001887
FD001,lstm,drift,30.719098850127743,28.048486247742296,33.08111807546166,2.0384777692231424,1.8612595361385722,2.195218164011801
FD001,pinn,drift,31.537408206263542,28.721031147895463,34.62627812377544,2.2375598937455443,2.037739657718099,2.456713332075618
FD001,transformer,drift,16.982051444603364,12.39871600369251,22.050009724327847,0.9375293692758819,0.6844968308270319,1.217316516606453
FD001,lstm,timeliness,8.106212791472684,7.170122698185976,9.042302884759387,0.537917295316123,0.47579962531334435,0.6000349653189013
FD001,pinn,timeliness,9.930191053120275,9.526227532138448,10.261385890108246,0.7045410038888305,0.6758800382453172,0.7280390757472749
FD001,transformer,timeliness,6.154921825939069,4.225888937161902,7.662714635463543,0.33979522416585106,0.23329896289687396,0.42303605324492033
FD004,lstm,accuracy,6.562696452747379,6.049099432078744,7.079943207895134,0.43443687419788807,0.40043781819047186,0.46867753504718257
FD004,pinn,accuracy,8.968601275101589,6.900365833341541,11.08282660225837,0.5840313942996885,0.44934880648696734,0.721708823344398
FD004,transformer,accuracy,11.92016092531525,10.754429273368112,13.11616662162491,0.7241136675889397,0.65329900097456,0.7967673906920233
FD004,lstm,accuracy_bias,19.003637112797314,17.266571738340364,20.34859505725264,1.2580013055789647,1.1430111857417842,1.3470347279723134
FD004,pinn,accuracy_bias,12.451440331825516,9.92195747593942,14.980923187711602,0.8108323511073984,0.6461135333267984,0.9755511688879975
FD004,transformer,accuracy_bias,26.399918870841745,24.72166546618313,28.840829055167518,1.603715100608854,1.5017662900512618,1.751993000286671
FD004,lstm,completeness_MAR,6.3059280316017245,5.379251210558669,7.245891185689295,0.41743933803597305,0.356095257226469,0.47966294649679714
FD004,pinn,completeness_MAR,6.099257476603665,4.6188510187944685,7.593456337262013,0.3971809805106191,0.3007775591560697,0.4944825571091859
FD004,transformer,completeness_MAR,3.142359416798746,1.7194837741319844,4.565235059465524,0.1908888157162697,0.10445343060781323,0.2773242008247272
FD004,lstm,completeness_MCAR,5.049673287073212,3.8301610066356413,5.942394982803039,0.3342778832378073,0.25354870324694506,0.3933742052776823
FD004,pinn,completeness_MCAR,6.415080386421597,4.501376986061905,8.40230430384638,0.4177472303320733,0.29312770149975087,0.5471543830952714
FD004,transformer,completeness_MCAR,4.784072329146463,3.9067237874424707,5.582354497620428,0.29061790205465615,0.2373216358156763,0.3391111256282504
